date,ret_1d,ret_3d,ret_7d,ret_14d,ret_30d,ret_90d,ma_z_30,ma_z_90,ma_z_200,dd_90,ru_90,rangepos_7,rv,rv_ratio_3_30,rv_rank,park_ratio,volu_z_7_90,spotvol_z,upvol_share_7,mvrv,mvrv_rank,mvrv_ch_30,netflow_7,netflow_30,netflow_rank,splyex_ch_7,splyex_ch_30,flowin_z,adr_mom_30,adr_px_div,hash_mom_30,fee_z,txtfr_mom_30,ethbtc_ch_7,ethbtc_ch_30,stbl_gr_7,stbl_gr_30,funding,funding_3d,funding_z_30,fwd_ret_1d,fwd_ret_2d,fwd_ret_3d,close
2012-01-01,,,,,,,,,,,,,0.0640822441962432,,,,,,,0.96110917,,,,,,,,,,,,,,,,,,,,,0.0,0.0563803334361076,0.1079571415050923,5.0
2012-01-02,0.0,,,,,,,,,,,,0.0,,,,,,,1.07623657,,,,,,,,,,,,,,,,,,,,,0.0563803334361076,0.1079571415050923,0.2851789422336624,5.0
2012-01-03,0.05638033343610769,,,,,,,,,,,,0.0851642369039154,,,,,,,1.05930034,,,,,,,,,,,,,,,,,,,,,0.0515768080689847,0.2287986087975547,0.1259412233578469,5.29
2012-01-04,0.0515768080689847,0.10795714150509236,,,,,,,,,,,0.0982112762554036,,,,,,,0.99064729,,,,,,,,,,,,,,,,,,,,,0.1772218007285702,0.0743644152888623,0.1995275582428682,5.57
2012-01-05,0.1772218007285702,0.28517894223366247,,,,,,,,,,,0.0683326860416521,,,,,,,1.13112076,,,,,,,,,,,,,,,,,,,,,-0.1028573854397078,0.0223057575142981,0.0512932943875504,6.65
2012-01-06,-0.10285738543970782,0.12594122335784694,,,,,,,,,,,0.0715896218158494,,,,,,,1.37524885,,,,,,,,,,,,,,,,,,,,,0.125163142954006,0.1541506798272583,0.048790164169432,6.0
2012-01-07,0.125163142954006,0.19952755824286825,,,,,,,,,,0.9568965517241377,0.1251631429540061,,,,,,0.7932499736692495,1.3299183,,,0.07156241874932116,,,,,,,,,,,,,,,,,,0.0289875368732524,-0.0763729787845739,0.048790164169432,6.8
2012-01-08,0.028987536873252406,0.05129329438755048,0.3364722366212129,,,,,,,,,1.0,0.0204978220795405,,,,,,0.8391878454455722,1.34825017,,,0.048694314491550095,,,0.5171288430556857,,,,,,,,,,,,,,,-0.1053605156578262,0.0198026272961797,0.0,7.0
2012-01-09,-0.10536051565782628,0.04879016416943204,0.23111172096338664,,,,,,,,,0.6618357487922705,0.0878887210157757,,,,,,0.7139869793229823,1.40190243,,,0.03254671821620996,,,0.29504662249421565,,,,,,,,,,,,,,,0.125163142954006,0.1053605156578263,0.0327898228229909,6.3
2012-01-10,0.125163142954006,0.04879016416943204,0.299894530481285,,,,,,,,,1.0,0.0936014611893951,,,,,,0.707509110128166,1.23859081,,,0.04780703521537499,,,0.5029666604434977,,,,,,,,,,,,,,,-0.0198026272961796,-0.0923733201310151,-0.0786431273191131,7.14
2012-01-11,-0.019802627296179643,0.0,0.22851509511612064,,,,,,,,,0.8124999999999999,0.1884066429855106,,,,,,0.42404730940000834,1.28528776,,,0.05363987305631495,,,0.6012274661179693,,,,,,,,,,,,,,,-0.0725706928348355,-0.0588405000229334,-0.1053605156578262,7.0
2012-01-12,-0.0725706928348355,0.03278982282299097,-0.021277398447284965,,,,,,,,,0.3695652173913042,0.1898902300321144,,,,,,0.18299986336181637,1.35196805,,,0.059704483514050284,,,0.7180105120595865,,,,,,,,,,,,,,,0.013730192811902,-0.0327898228229908,0.0937729004854385,6.51
2012-01-13,0.013730192811902037,-0.0786431273191131,0.09531017980432474,,,,,,,,,0.43478260869565194,0.1673483302297521,,,,,,0.30807566910456224,1.3223058,,,0.03842304641311915,,,0.36791668354897644,,,,,,,,,,,,,,,-0.0465200156348928,0.0800427076735365,0.0730251350148898,6.6
2012-01-14,-0.04652001563489282,-0.10536051565782628,-0.07637297878457397,,,,,,,,,0.06086956521739081,0.026860496134702,,,,,,0.29512065337050164,1.2583872,,,0.03890667599216402,,,0.3742809163397012,,,,,,,,,,,,,,,0.1265627233084294,0.1195451506497827,-0.0487901641694319,6.3
2012-01-15,0.12656272330842944,0.09377290048543857,0.021202207650603124,0.35767444427181605,,,,,,,,0.8000000000000003,0.1265627233084294,,,,,,0.31669594591679806,1.3151655,,,0.015152197926347429,,,0.11865004863013384,,,,,,,,,,,,,,,-0.0070175726586466,-0.1753528874778613,-0.0070175726586466,7.15
2012-01-16,-0.0070175726586466465,0.07302513501488982,0.11954515064978273,0.35065687161316933,,,,,,,,0.7627118644067794,0.1967150421403689,,,,,,0.36340539440023145,1.36849062,,,0.011125871730640663,,,0.08445885047261426,,,,,,,,,,,,,,,-0.1683353148192146,0.0,-0.1323248772961816,7.1
2012-01-17,-0.16833531481921463,-0.048790164169431945,-0.173953307123438,0.12594122335784694,,,,,,,,0.0,0.1545321271198161,,,,,,0.1861014739338068,1.30213368,,,-0.007584727792964621,,,-0.05041633529408118,,,,,,,,,,,,,,,0.1683353148192147,0.036010437523033,0.1469821903486458,6.0
2012-01-18,0.16833531481921474,-0.0070175726586466465,0.014184634991956381,0.24269973010807697,,,,,,,,0.7985611510791365,0.2127073901193027,,,,,,0.5009187420167522,1.08841281,,,0.004606329552835019,,,0.0333186434331918,,,,,,,,,,,,,,,-0.1323248772961816,-0.0213531244705689,-0.0475936971230861,7.1
2012-01-19,-0.1323248772961816,-0.1323248772961816,-0.04556954946938979,-0.06684694791667478,,,,,,,,0.3804347826086956,0.4161758277851139,,,,,,0.36662036811228327,1.14730395,,,0.0015889540460489705,,,0.011247783803427502,,,,,,,,,,,,,,,0.1109717528256127,0.0847311801730954,0.0876810348195167,6.22
2012-01-20,0.11097175282561274,0.14698219034864585,0.05167201054432107,0.14698219034864585,,,,,,,,0.8773006134969324,0.127814534918095,,,,,,0.4167087605297668,1.22398742,,,-0.0052464245770814,,,-0.03542402568669689,,,,,,,,,,,,,,,-0.0262405726525172,-0.0232907180060959,-0.0638672836381393,6.95
2012-01-21,-0.02624057265251727,-0.047593697123086164,0.07195145352669659,-0.004421525257877374,,,,,,,,0.7668711656441715,0.1236788880664988,,,,,,0.3769048647180453,1.25883339,,,-0.017751175936338962,,,-0.11052463577035698,,,,,,,,,,,,,,,0.0029498546464211,-0.037626710985622,-0.033036037277023,6.77
2012-01-22,0.0029498546464211185,0.08768103481951676,-0.051661415135311625,-0.030459207484708574,,,,,,,,0.7791411042944785,0.1526750097597991,,,,,,0.42853890157443664,1.19649675,,,0.010975668645641246,,,0.0832237333656074,,,,,,,,,,,,,,,-0.0405765656320432,-0.0359858919234441,-0.073315265017483,6.79
2012-01-23,-0.04057656563204326,-0.06386728363813932,-0.08522040810870815,0.03432474254107446,,,,,,,,0.6329113924050632,0.0991791853276136,,,,,,0.38496908671016744,1.2195885,,,0.00715190667947103,,,0.05270177393971309,,,,,,,,,,,,,,,0.004590673708599,-0.0327386993854398,-0.1701262837001363,6.52
