date,open,high,low,close,vol_btc,vol_usd,rv_5m,rv_park,adr_act,mvrv,fee_ntv,flow_in_ex,flow_out_ex,hashrate,sply,sply_ex,tx_tfr,spot_vol_usd,eth_price,stbl_sply,funding_daily,fwd_ret_1d,fwd_ret_2d,fwd_ret_3d
2012-01-01,4.58,5.0,4.58,5.0,21.602,105.77915999999999,0.06408224419624328,0.038485309754716666,10983.0,0.96110917,4.10688148,8381.56954666,2869.48140434,8.70672161681614,8001949.98999999,20777.29583767,9499.0,605406.468794548,,,,0.0,0.05638033343610769,0.10795714150509236
2012-01-02,5.0,5.0,5.0,5.0,19.048,95.24,0.0,0.0,11474.0,1.07623657,3.44370788,8274.67425498,2914.1846899,8.82204243293291,8009599.98999999,26137.78540275,10295.0,565218.638061391,,,,0.05638033343610769,0.10795714150509236,0.28517894223366247
2012-01-03,5.0,5.32,5.0,5.29,88.03728092,464.8052095058,0.08516423690391549,0.04610229824063998,12094.0,1.05930034,5.54740864,5248.13430668,5571.55342668,8.70672161681614,8017149.98999999,25814.36628275,10880.0,369601.469195044,,,,0.0515768080689847,0.22879860879755476,0.12594122335784694
2012-01-04,5.29,5.57,4.93,5.57,107.23326023000001,573.7080585988001,0.09821127625540366,0.058724385449969684,12934.0,0.99064729,5.46500094,5574.47385605,6261.59749439,9.16800488128322,8025099.98999999,25127.24264441,11243.0,633366.866047084,,,,0.1772218007285702,0.07436441528886234,0.19952755824286825
2012-01-05,5.57,6.65,5.57,6.65,94.80182926,588.4010478073001,0.0683326860416521,0.043106702801806215,12763.0,1.13112076,14.19312876,3851.14773223,5417.92019261,8.59140080069937,8032549.98999999,23560.47018403,11339.0,709808.65773333,,,,-0.10285738543970782,0.022305757514298186,0.05129329438755048
2012-01-06,6.65,6.9,6.0,6.0,33.88274671,223.53871662490002,0.07158962181584942,0.056587388453737786,15378.0,1.37524885,5.9533829,14183.34219073,8160.37861158,8.4760799845826,8039899.98999999,29583.43376318,13532.0,1166258.20026227,,,,0.125163142954006,0.15415067982725836,0.04879016416943204
2012-01-07,6.0,6.8,6.0,6.8,0.29585799,2.011834332,0.1251631429540061,0.07516812787809922,14524.0,1.3299183,6.13445621,9444.58164027,8440.28280797,9.85992977798385,8048449.98999999,30587.73259548,12602.0,1525645.64365047,,,,0.028987536873252406,-0.07637297878457397,0.04879016416943204
2012-01-08,6.8,7.0,6.8,7.0,5.0,34.6,0.020497822079540512,0.01231019671552694,13829.0,1.34825017,4.66858558,3939.78005439,3005.67785384,10.6095150827429,8057649.98999999,31521.83479603,12022.0,333931.911433338,,,,-0.10536051565782628,0.01980262729617973,0.0
2012-01-09,7.0,7.0,6.23,6.3,66.8693229,442.8461797182,0.08788872101577572,0.052275382799231246,14549.0,1.40190243,3.59259715,6123.95056936,3796.13466008,9.57473527320661,8065799.98999999,33849.65070531,13535.0,409236.384070893,,,,0.125163142954006,0.10536051565782635,0.03278982282299097
2012-01-10,6.3,7.14,6.24,7.14,62.28998018,413.2040844179,0.09360146118939515,0.052973099716439466,15286.0,1.23859081,6.52666106,8690.18955696,3741.70837882,10.196782731553,8073999.98999999,38798.13188345,12543.0,987736.29232587,,,,-0.019802627296179643,-0.09237332013101517,-0.0786431273191131
2012-01-11,7.14,7.33,6.25,7.0,105.35893401999999,743.749874141,0.1884066429855106,0.11314972042706267,15541.0,1.28528776,4.76118333,3980.93493968,2544.63575309,8.76674612895719,8081049.98999999,40234.43107004,13196.0,726658.997877756,,,,-0.0725706928348355,-0.058840500022933465,-0.10536051565782628
2012-01-12,7.0,7.38,6.51,6.51,82.30163181,598.0616310296,0.18989023003211442,0.1150272510336361,16961.0,1.35196805,5.68863139,3789.78161805,3547.07724286,9.51285218248546,8088699.98999999,40477.13544523,14560.0,713569.967987327,,,,0.013730192811902037,-0.03278982282299084,0.09377290048543857
2012-01-13,6.51,7.36,6.51,6.6,48.970144839999996,344.7935289092,0.1673483302297521,0.08002273831384263,14087.0,1.3223058,41.32223565,4074.50888772,4083.97173163,9.63720319140684,8096449.98999999,40467.67260132,13215.0,971579.83947703,,,,-0.04652001563489282,0.08004270767353656,0.07302513501488982
2012-01-14,6.6,6.6,6.3,6.3,16.836,108.417846903,0.026860496134702063,0.016131371909256283,14317.0,1.2583872,12.63861056,4691.46792295,3123.0033442,8.7045706244965,8103449.98999999,42036.13718007,13399.0,414813.32435862,,,,0.12656272330842944,0.11954515064978273,-0.048790164169431945
